asin,text,title,location_and_date,verified,rating
B08FT3ZMF3,"I have literally bought 5+ pair of Sennheiser MX-680 over the years, because they sound great, and work for my purposes with same situation Sansa Clip+ MP3 players (way more than 5+) for about 12 years. Both of those devices are rare now, and I am facing the fact that it's time to get into the modern era. I download about 25 podcasts on Sunday to listen to while I toil at my job all week. I have tested and returned several devices in the last month or so, but I have held on to these earbeans. If you have seen or own a set, you know why I refer to them as earbeans. They sound and/or fit better than 3 other wireless sets that I have tried. More consistent bluetooth connections with several devices, and may even sound better than the wired Sennheisers on my gaming laptop... They tend to work their way out of my ears gradually requiring me to push them back in a little after a couple hours, but it beats the alternative of having my ears clogged with silicone ear tips which I don't care for. Weirdest thing I have to complain about is that when I go outdoors, the bluetooth connection gets real flukey. I don't understand it, but when I am indoors or in a car, it's perfect. When I step outside, it's in and out (same with Raycons which I tested at the same time)... Finally, when paired with my Galaxy S8 (yes I am old and don't buy a new phone every year or less), I can't seem to get them loud enough, but I think that's the nanny nature of the phone not wanting to damage one's hearing and not so much the earbeans because they will go much louder on the PC... Take it from someone who will reject anything of questionable quality, these are good. Raycon on the other hand (at $55 more) - going back.",Noob with BlueTooth Earbuds somewhat impressed with these EARBEANS!,"Reviewed in the United States 🇺🇸 on March 25, 2023",True,4.0
B08FT3ZMF3,"When I first got this earbuds I was not too sure how comfortable it would fit my ears. First day of wearing it for more than 5 hours, it hurt near my ear canals. But after wearing it constantly everyday, it feels normal. I personally wouldnt buy it for noise cancellation ability. The bass is really good. But the most important point of this earbuds is its battery life. Almost 8 hours of it is insane for a person that constantly uses it (without noise cancellation). Overall I would recommend it",Is not your regular type of earbuds,"Reviewed in the United States 🇺🇸 on March 27, 2023",True,5.0
B08FT3ZMF3,"These earbuds are different from most that they don't require a rubber plug to sit directly in the ear canal. IF the shape of your ears is compatible, they sit in a bend of the outer ear. The online manual shows and illustration whereby the buds are held ""correctly"" in a more or less vertical position, and ""incorrectly"" in a more horizontal position. There's no way that the earbuds will provide good sound in my ears in the ""correct"" position, but luckily the ""incorrect"" position is fine. I would not expect the full fidelity of a pair of expensive in-ear earbuds, but they are certainly sufficient for casual listening to music, and have sufficient bass and treble response. I especially like that they can be charged in their battery-containing case, and that the case itself can be charged wirelessly with or without the earbuds inside. As far as noise cancellation is concerned, that is not what I purchased these earbuds for, and I would imagine it would not be anywhere nearest effective as something that creates an actual physical seal. I find that I can walk around with them without having to worry about them falling out, but as far as intense physical activity, probably not. Again, it all depends on how well these fit in your ears.","Small, not really ""in ear""","Reviewed in the United States 🇺🇸 on January 13, 2023",True,4.0
B08FT3ZMF3,"I would compare the Buds Live to the Sony Linkbuds as far as an open ear bud.  The Sony has some decent mids and highs, and are a bit more open.  These only imply bass.  The Samsung buds have way more bass response, highs are there, but a little more quiet.  The Buds live feel a touch less open.  A tweek ro the equalizer made a big difference, however.Between the two, I'm picking the Samsung Buds Live.  Way better value in my amateur opinion.",Better value over Sony Linkbuds open ear.,"Reviewed in the United States 🇺🇸 on March 8, 2023",True,5.0
B08FT3ZMF3,"My husband got a pair of these from his work. He used them relentlessly for 3 days, and then they disappeared out of his box. Still not sure where they went. His birthday was coming up, so I ordered these to replace his. He was so happy, and uses them all the time for his night job.Great sound, perfect for phone calls (I can actually hear and understand him!), comfortable. Would recommend.",Bought for my sweet husband.,"Reviewed in the United States 🇺🇸 on March 14, 2023",True,5.0
B08FT3ZMF3,The quality and lifetime of the headphones are amazing. Sits in my ears comfortable and does not fall out of my ears. Quality of the speakers are great.,Best quality for wireless ear bud.,"Reviewed in the United States 🇺🇸 on March 31, 2023",True,5.0
B08FT3ZMF3,"Samsung Buds Live feels comfortable in the ears and sound great all at a reasonable price. Music sounds great while listening at loud levels and phone conversations are pretty clear. I would say these are a high quality pair of earbuds without breaking the bank. Thumbs up to the seller for prompt shipping, new in the box  as advertised, and great pricing.",Great price brand new in the box,"Reviewed in the United States 🇺🇸 on February 28, 2023",True,4.0
B08FT3ZMF3,"I do like the simplicity of the esr buds and how they easily connected to my desktop but I have to say when I tried my new Raycon (Red) ear buds they give you more options in sound quality type and adjustments. Before I made any adjustments the sound quality was much better than these, But for the money these will do the job.",The sound quality is not as good as raycon,"Reviewed in the United States 🇺🇸 on February 24, 2023",True,4.0
B08FT3ZMF3,I splurged and bought these.  I barely hear any background noise and I don't have to stop every few minutes to adjust the fit.  The sound is sharp.,"Great Earbuds, Good Fit","Reviewed in the United States 🇺🇸 on March 24, 2023",True,5.0
B08FT3ZMF3,"Love every feature that this model offered.  However, I give a thump down when it came to staying in my ear: fell out my ear to many time to count, even after using encluded items.  Return them with-in 48hrs",Returned with-in 48hrs,"Reviewed in the United States 🇺🇸 on March 9, 2023",True,4.0
B08FT3ZMF3,"I like it a lot, I had issues getting it but when I received it it’s been wonderful",Battery life,"Reviewed in the United States on March 31, 2023",True,5.0
B08FT3ZMF3,"They stay in nicely and don't slip out.Sound quality is quite good even when using only one.Love that the charger and buds charge simultaneously.They're meant to fit snug in your ears and if you have smaller ears like mine, the fit might hurt, but its bearable.",Quite happy,"Reviewed in the United States on February 27, 2023",True,4.0
B08FT3ZMF3,"Best Samsung buds. They are very comfortable. The noise canceling is basically non existent. But who cares, that's not why you buy these.",Super comfortable,"Reviewed in the United States on March 25, 2023",True,5.0
B08FT3ZMF3,I've had this set for 3 years and my puppy chewed them up i immediatly bought a new pair I Iove the sound and bass quality plus they stay charged for with constant use about 8 hrs then I usually have to charge em up. I've had many wireless earbuds and these are my absolute fav super comfortable and fit snuggly in the earlobe,Durability and sound quality,"Reviewed in the United States on March 5, 2023",True,5.0
B08FT3ZMF3,Love the sound quality.  They don't fall out either.  And I don't stay still.,I even like using them one at a time.,"Reviewed in the United States on March 29, 2023",True,5.0
B08FT3ZMF3,"El artículo super bueno muy buen sonido y larga duración de batería, no me tengo que preocupar en cargarlos a cada rato, es super practico llevarlos a donde quiera",Super recomendado para los amantes de la música,"Reviewed in the United States on March 20, 2023",True,5.0
B08FT3ZMF3,Bought these because I hate in ear earbuds and wanted something in the Samsung ecosystem.Unfortunately they don't fit in my ears and are uncomfortable.At least the audio quality is good with plenty of bass and the noise canceling is good at those low frequencies,Great earbuds just doesn't fit everyone.,"Reviewed in the United States on March 9, 2023",True,5.0
B08FT3ZMF3,"Very nice-looking. Very practical little case. At least from my side the buds fit just fine in ears. Sound is even better than a previous similar set I had from JBL (bulkier than this set). I have been using them for less than a month, so if there is any update I will post it.... Shipping was also flawless.",Way beyond my expectations!,"Reviewed in the United States on March 3, 2023",True,5.0
B08FT3ZMF3,These were given as a gift and they said the sound quality is great,Perfect gift,"Reviewed in the United States on March 29, 2023",True,5.0
B08FT3ZMF3,Fits comfortably in ears. I like that listening to music I can still hear my surroundings. I know this may be a negative to others but definitely a plus for me.  Music quality is great. My only negative is the tap control is a little hard to find.,Two thumbs up!!,"Reviewed in the United States on February 22, 2023",True,4.0
